3,0,0,0,0,1,1,1,3,1,1,1,0,0,1,0,3,1,0,0,2,2,1,1,0,1,0,2,0,0,1,1,1,2,0,0,3,0,0,1,1,1,2,1,2,0,0,2,0,1,0,2,3,0,2,0,0,2,0,0,0,4,0,0,0,1,1,0,0,0,0,1,3,1,0,0,1,0,0,0,1,1,3,1,1,1,3,0,0,1,1,0,0,1,3,1,0,0,0,0.8485,2,0,0m4.7565s
0,2,0,0,4,3,1,0,0,0,0,0,1,1,3,1,2,1,1,2,1,0,0,2,2,0,0,2,1,2,3,1,1,2,0,3,2,2,0,0,0,1,0,0,0,1,2,2,1,0,1,0,0,0,0,1,0,0,1,1,1,0,3,0,0,0,2,2,0,0,1,0,0,1,3,2,0,1,1,0,0,2,0,1,1,2,0,0,1,2,0,3,1,1,1,0,2,1,2,0.9495,1,0,0m5.5661s
0,1,1,2,1,2,1,3,0,0,1,0,0,1,3,1,0,0,0,1,2,0,2,1,1,1,2,0,0,1,1,1,1,2,1,1,0,1,2,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,4,1,4,2,1,1,1,0,0,2,1,0,1,0,0,0,2,1,1,1,1,1,0,0,1,0,2,2,0,3,1,0,0,2,2,1,1,2,0.9192,1,0,0m4.7334s
0,0,1,0,1,1,0,3,2,0,3,0,1,0,0,1,0,2,2,2,1,0,3,0,1,2,0,0,1,1,0,2,0,0,1,1,1,0,1,1,1,0,1,0,2,1,2,0,2,0,0,2,4,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,2,0,0,1,1,0,1,1,2,1,3,1,0,3,0,2,2,1,0,0,0,0,1,2,0,0,1,0,0.8788,1,0,0m4.8778s
3,0,0,2,3,0,1,1,3,1,0,3,1,0,1,0,0,2,0,0,0,1,1,0,0,2,0,0,1,1,1,1,0,0,0,2,1,0,0,4,1,4,0,0,1,0,0,1,2,3,1,0,0,0,0,0,0,1,1,0,1,0,3,1,2,0,0,2,1,1,0,1,1,1,2,2,1,2,0,1,1,1,1,0,1,0,0,1,0,1,2,0,1,2,1,0,1,2,0,0.8889,2,0,0m4.786s
0,1,0,0,1,2,2,1,0,0,2,1,2,0,1,1,1,4,0,3,0,2,0,1,1,2,1,1,1,0,3,1,2,0,1,1,0,1,0,1,0,2,0,0,1,2,0,1,1,1,0,2,0,3,1,2,2,2,0,0,0,0,0,1,0,1,1,2,1,1,1,3,2,1,1,1,3,2,0,0,1,2,1,0,2,2,2,1,1,1,2,1,0,2,0,0,1,0,0,1.0202,1,0,0m5.0012s
2,3,0,0,0,3,2,0,2,0,0,0,3,0,2,0,4,2,1,2,1,0,3,0,0,1,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,2,1,0,0,1,0,0,1,0,1,3,2,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,2,1,0.7475,3,0,0m4.9849s
1,0,1,0,1,0,0,3,1,0,2,0,2,0,0,1,1,2,0,2,1,2,1,1,1,2,2,0,0,0,2,3,1,3,4,0,2,1,0,0,2,0,1,3,1,3,0,1,0,0,1,1,0,1,2,0,1,0,2,2,1,1,0,1,0,0,3,1,1,3,0,1,2,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,3,5,1,2,1,0,0,2,2,0,1,1.0202,2,0,0m4.7913s
0,0,1,0,3,1,2,1,0,1,1,0,1,0,0,0,0,1,1,1,1,2,0,0,1,1,0,2,1,2,2,1,1,3,0,1,1,1,0,2,1,3,0,1,1,0,1,0,3,2,1,0,0,3,0,0,0,2,1,2,0,0,4,1,2,2,0,1,4,1,0,1,0,0,0,0,1,1,1,3,1,0,1,0,1,1,1,1,0,1,0,2,0,1,1,0,0,0,1,0.9192,1,0,0m4.8331s
1,0,1,2,1,3,0,2,0,0,0,1,2,0,4,0,1,2,0,3,0,1,0,0,0,1,0,1,1,0,0,2,1,1,1,1,3,0,2,2,1,0,1,1,0,1,2,1,4,2,0,1,0,0,0,0,2,0,3,0,2,1,0,0,1,0,1,2,3,1,3,0,1,0,2,0,1,1,1,0,0,0,2,2,1,1,1,1,2,0,0,2,0,0,1,2,2,1,0,0.9798,2,0,0m5.0659s
