2,0,2,1,0,0,2,0,0,1,1,0,2,1,1,0,0,2,1,1,0,1,2,1,1,2,0,1,0,1,0,1,2,0,0,2,0,2,0,0,0,0,1,1,1,0,3,1,2,1,1,1,0,0,0,1,0,0,2,4,1,1,0,0,0,1,0,0,0,2,1,0,0,0,4,0,0,2,2,2,1,0,1,2,0,1,2,1,0,0,0,0,1,2,0,2,1,0,1,0.8384,2,0,0m6.7578s
3,0,1,0,0,0,1,3,1,0,0,1,2,1,2,0,1,1,1,3,2,1,0,0,2,2,0,0,0,1,1,2,0,2,0,1,1,3,0,1,0,2,0,0,1,0,1,0,2,2,1,3,0,1,0,1,2,1,0,0,1,0,0,2,1,0,0,0,1,0,1,2,1,1,2,1,4,0,0,2,1,1,3,2,1,0,0,0,1,0,3,0,0,1,0,1,2,2,0,0.9495,2,0,0m7.1112s
1,1,0,1,2,0,1,0,1,1,0,1,0,1,0,1,2,0,0,0,0,1,2,1,1,0,1,3,1,2,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,2,1,1,0,0,1,1,1,0,3,1,0,2,1,2,0,1,5,1,1,1,0,2,0,1,0,1,1,0,0,0,0,2,0,3,0,0,1,0,0,1,0,1,1,1,0,0,0,1,2,2,0.798,3,0,0m7.9786s
2,0,1,0,1,1,3,2,1,1,1,1,0,0,0,0,0,1,0,1,1,2,4,1,1,0,1,1,1,0,0,0,0,1,1,2,2,2,0,1,2,1,0,0,3,2,0,0,0,2,2,0,1,3,1,0,1,0,0,0,1,2,0,3,1,2,0,2,1,0,2,0,3,2,1,1,4,0,1,2,1,2,1,1,2,0,1,1,1,0,1,2,0,2,0,1,0,0,2,1.0202,2,0,0m6.6577s
1,2,0,2,1,2,1,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,2,1,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,1,0,0,0,2,1,0,0,0,2,1,2,2,0,2,1,1,1,2,3,0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,1,1,3,0,2,0,2,4,0,0,0.7374,3,0,0m6.8539s
1,0,0,0,1,0,1,0,1,2,2,0,3,0,2,1,0,0,2,0,0,0,0,2,1,3,0,0,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,3,1,3,2,0,1,2,0,1,0,1,0,0,1,0,3,1,0,2,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,2,0,1,1,0,2,2,0,0,0,2,0,0,0.7273,2,0,0m6.7602s
1,2,0,1,0,3,2,0,1,1,0,1,1,2,0,1,0,1,0,0,1,2,1,1,0,0,1,1,2,0,1,0,0,0,0,2,0,2,0,0,1,2,1,0,0,0,2,0,2,1,0,0,1,2,5,0,0,0,1,2,3,2,0,0,2,0,1,1,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,1,1,1,3,4,0,2,1,2,1,1,1,1,0.8687,3,0,0m6.9554s
0,1,1,1,1,0,1,2,0,0,2,1,4,1,0,2,1,1,1,1,2,1,1,0,1,2,2,1,0,0,1,0,1,1,1,0,1,0,0,2,0,0,0,1,2,2,2,1,1,1,2,1,2,0,1,1,1,0,1,0,1,0,2,1,0,2,0,1,1,1,1,1,0,2,1,2,1,0,1,2,0,2,2,0,0,1,1,0,0,2,0,1,0,1,1,3,0,1,1,0.9394,1,0,0m6.7735s
1,2,0,0,1,0,2,1,1,1,0,0,3,0,0,1,0,0,1,0,0,2,4,1,1,0,0,0,1,1,0,0,1,0,1,1,1,2,2,1,0,1,0,2,1,1,0,0,0,0,1,0,1,0,2,3,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,0,1,0.6364,3,0,0m7.453s
0,4,0,1,1,1,0,0,1,1,0,4,0,0,0,0,0,2,0,1,1,1,3,1,0,0,0,0,1,2,2,1,1,0,2,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,1,0,2,0,1,1,1,1,2,1,1,1,1,0,0,2,1,1,0,0,0,0,1,0,1,0,1,2,1,2,0,0,0,1,0,1,2,0,0.7374,1,0,0m7.8531s
